 TITLE,LastName,FirstName, SEX,Rtg_Nat
,ABINAL, Rector,,1920
,ABINEDO, Flory,,
,ABINER, Zhaivhere Dave G.,,1484
,ABINES, Georgea Beleni,F,1858
,ABINES, Marcelo,,1707
,ABING, Allan,,1864
,ABING, Christ Raymond,,1641
,ABING, Clariz Julia,F,1702
,ABING, Jeremie,,
,ABING, Jose Jr.,,1861
,ABING, Lorenzo,,1550
,ABING, Mark James,,
,ABING, Naomi,F,
,ABINION, Karl Axel,,1830
,ABIO, Crystal Venesse,F,1650
,ABIOG, Florence,,1855
,ABISAN, Roger,,1851
,ABISO, Geoff Rafael,,1683
,ABITO, Erwin,,1802
,ABITONA, Jericho Unabia,,1654
,ABITONA, Kencyanne Zoe,F,
,ABITONA, Philip Mark,,1751
,ABITRIA, Dexter,,1981
,ABITRIA, Kyle Jairus,,1761
,ABIUL, Cesar A.,,1861
,ABIVA, Edmund,,1912
,ABIVA, Sherwin,,
,ABIZA, John Rex,,1447
,ABLA, Nathan Mark,,1874
,ABLAN, Winchester,,1746
,ABLANG, Charles Darwin,,1898
,ABLANG, Dan Angelo,,1840
,ABLANG, Danica Alexis,F,1899
,ABLANG, Darwin,,1846
,ABLANG, Maria Gabrielle,F,1830
,ABLANG, Mariah Geraldine,F,1734
,ABLANG, Quinta Angela,F,1676
,ABLAO, Gienova,F,1725
,ABLAO, Psalm Nayomi,,1642
,ABLAY, Dudino D. Jr.,,1678
,ABLAY, Jean,F,
,ABLAY, Rudino D.,,1834
AIM,ABLAZA, John Alfred,,
,ABLAZO, Bensen,,1898
,ABLAZO, Hezekiah,,
,ABLAZO, Nathaniel,,1985
,ABLEN, Jade,F,
,ABLIAN, Joross Kent,,
,ABLID, John Peter,,2013
,ABLIN, Arlene Antiquina,F,1846
AGM,ABLIN, Julius Dan Augustine,,2077
,ABLO, Elbert John,,1795
,ABLO, Exzekel M.,,1658
AFM,ABLOG, Joel James,,1872
,ABLON, Vladimir,,1799
,ABLONG, Gilbert Iii,,
,ABLONG, Jashira Mirielley,F,1520
,ABLONG, Pio Ezekiel,,1494
,ABLUYEN, Shaniah,F,
,ABO, Augusto,,
,ABO, Jonathan,,1914
,ABO, Jumar,,2144
,ABO, Kevin,,1795
,ABO, Khrystelle Francheska,F,
,ABO, Kyle Allen,F,
,ABO, Rolando,,1996
,ABOBO, Santos,,1876
,ABOBO, Vash Khniess A.,,1750
,ABOG, Andre,,1720
,ABOG, Keziah Lhee Shane,F,
,ABOGA-A, Goldchrist,,1804
,ABOGA-A, Goldwyn,,1770
,ABOGADIE, Nina Rica,F,
,ABOGADO, Anthony,,1786
,ABOGADO, Regina,F,1777
,ABOGADO, Viron,,1435
,ABONACION, Leonardo,,
,ABONALES, Dave Jorin,,
,ABONALES, Erwin,,1861
,ABONALES, Sigfred Sean,,
,ABONATES, Harth Jhon C.,,1470
,ABONERO, Arcel Jhake,,1689
,ABONERO, Joshua Brylle,,1449
,ABONG, Alex Jose Moises,,1848
,ABONITA, Xander,,1562
,ABONO, Frendsy,,1704
,ABONO, Marcus Miguel,,
,ABORDO, Ariel,,1875
,ABORDO, Catherine Mae,F,1689
,ABORDO, Crisalde,,1905
,ABORDO, Genlyn,F,1543
,ABORDO, Jermel,,2006
,ABORDO, Johann Crizbrielle,,1641
,ABORDO, Lynce,,1605
,ABORDO, Trisha Rose,F,1625
,ABOROT, Sheenaly,F,
,ABORQUE, Benedict,,1596
,ABOTANMO, Earyl Zhyra,,1760
,ABOY, Joremz Arlan,,1664
,ABOY, Reynan,,
,ABOYO, Aldrex,,1716
,ABPI, Nur,,1882
,ABRACIA, Renzo Santino,,1758
,ABRAGAN, Yokhan,,1613
,ABRAGAN, Zelle,F,1619
,ABRAGANTE, Arnulfo,,
,ABRAGON, Mario,,1978
,ABRAHAM, Alyssa Sophia,F,1728
,ABRAHAM, Ernest Hayden,,1659
,ABRAHAM, Jan Nathaniel,,1827
,ABRAHAM, Jessamae,F,1731
,ABRAHAM, Jordan,,1859
,ABRAHAM, Joss Villa,,1569
,ABRAHAN, Axel Rose,,1444
,ABRAJANO, Allan,,
,ABRANTES, James,,1761
,ABRANTES, John Andrei,,1764
,ABRANTES, Santino Ezekiel,,1670
,ABRASADO, Lordwin,,1591
,ABRASALDO, King Prince,,
,ABRASALDO, Lordwin,,
,ABRASALDO, Neil Vincent,,1714
,ABRASIA, Edward,,1880
,ABRASIA, Shawn Carlo,,1762
,ABREA, Audie,,1839
,ABREA, Jovie,F,1823
,ABREA, Ruel,,1401
,ABREGANA, Ramil,,1918
,ABREGANA, Ramil Jr.,,1632
,ABREGONDE, Jose Werlin,,1770
,ABREGUNDA, Vaughn Rhenier,,1805
,ABRENCIA, Roli Jhon,,1728
,ABRENICA, Julius,,1755
,ABRENICA, Myke Gabriel,,
,ABRENICA, Roli Jhon,,1782
,ABRERA, Ezekiel Paul,,1795
,ABRERA, Joshua,,1848
,ABRIA, Dax Danie,,1591
,ABRIAN, Michael Christopher,,1902
,ABRICA, Stephen T.,,1880
,ABRIGANA, Ramil,,1690
,ABRIGO, Briggs,,1845
,ABRIGO, Nyelmar,,
,ABRIGO, Ronald,,1888
,ABRIGOSO, Reignette Lindsey,F,1706
,ABRIL, April Angel,F,1777
,ABRIL, Hazel,F,1530
,ABRIL, Lito,,1914
,ABRIL, Seth Jairus,,1521
,ABRINGAB, Matt Dave,,1667
,ABRINGAB, Mike Deniel,,1663
,ABRINGE, Kiss Daven,,1524
,ABRIOL, Arjie,,1809
,ABRIOL, Nigel Sebastian,,1664
NM,ABRIS, Cedric Kahlel,,2051
,ABRIS, Ferly,F,1884
,ABROT, Julie Emanuel,F,1665
,ABROT, Paul Christian,,1730
,ABRUGAR, Marius Victor,,
,ABSALON, Ellyn Eamber,F,1535
,ABSALON, Shire Gavri,,1610
,ABSIN, Christian,,1851
,ABSIN, Enrico,,1812
NM,ABSIN, Ernesto,,2139
,ABSIN, Malou,F,1840
,ABSIN, Marc Adrian,,
,ABSIN, Rhea,F,1768
,ABSIN, Stephen Rey,,1665
,ABU, Elizabeth,F,
,ABU, Frances Abigail,F,1755
,ABU, Mark Davion,,
,ABU, Raven Christian,,1808
,ABUACAN, Rose Faith A.,F,1775
,ABUAN, Agoldrix,,1618
,ABUAN, Alec Vince,,1683
AFM,ABUAN, Alison Dwyne,,1559
,ABUAN, Dave Jester,,1807
,ABUAN, Ed,,
,ABUAN, Erika,F,1721
,ABUAN, Jeenairel,,1708
,ABUAN, Julius,,1557
,ABUAN, Kristine Chelonei,F,1867
,ABUAN, Louise,,
,ABUAN, Mary Ann,,
,ABUAN, Monika Q.,F,1567
,ABUAN, Placido Iii,,1837
,ABUAN, Sharlyne Anne,F,1790
,ABUANA, Christian Xavier,,
,ABUBAKAR, Boy,,1849
,ABUBAKAR, Majer,,1872
,ABUBAKAR, Mohamidin,,1649
,ABUBAKAR, Raudah,F,1609
,ABUBAKAR, Ravijah,,1635
,ABUBO, Danilo Jr.,,1882
,ABUBO, Ellen Joy,F,1676
